Activity,Description
checkin,Check-in (Swope)
dinner,Dinner (SWC)
coffee,Coffee break (XXX)
lunch,Lunch (SWC)
intro,Introduction - Allesina and Palmer (Speck)
talk1,??? Welcome - R. Nishi & V. Prince (Speck)
talk2,MBL Talk 1 XXX (Speck)
talk3,MBL Talk 2 XXX (Speck)
talk4,MBL Talk -  N. Patel (Speck)
wrapup,BBQ and Wrap up (Meigs)
depart,Departure for BOS
Computing1a,Basic comp. I (LBG70) Advanced comp. I (LB263)
Computing1b,Basic comp. I (CH1) Advanced comp. I (XXX)
Computing2a,Basic comp. II (LBG70) Advanced comp. II (LB263)
Computing2b,Basic comp. II (CH1) Advanced comp. II (XXX)
Microscopy,Microscopy and ImageJ (LBG70)
MRC,Visit Marine Resources Center (MRC)
Gemma,Trip on the Gemma (MRC dock - be 15 min early)
Off,Free time
w1,Workshop Eren (LB263)
w2,Workshop Palmer (LB374)
w3,Workshop Steinrücken (LBG70)
t1,Reproducibility of data analysis (LBG70)
t2,Data visualization (CH1)
t3,Defensive programming (XXX)
t4,Statistics for a data rich world (CH1)
team,Team building activities (follow Course Assistants)
pd1a,Navigating first year a) (Loeb 3rd floor)
pd1b,Navigating first year b) (Loeb 3rd floor)
pd2a,Life after PhD a) (Loeb 3rd floor)
pd2b,Life after PhD b) (Loeb 3rd floor)
pd3a,Publishing primer a) (Loeb 3rd floor)
pd3b,Publishing primer b) (Loeb 3rd floor)
